provincia;municipio;distrito;seccion;mesa;apellido_desde;apellido_hasta;nombre_colegio;direccion
HUESCA;ALMUDEVAR;1;1;B;L;Z;COLEGIO PUBLICO;CALLE CIENCIAS
HUESCA;ALMUDEVAR;1;2;A;A;J;COLEGIO PUBLICO;CALLE CIENCIAS
HUESCA;ALMUDEVAR;1;2;B;K;Z;COLEGIO PUBLICO;CALLE CIENCIAS
HUESCA;ALMUNIA DE SAN JUAN;1;1;U;A;Z;SALON DE ACTOS DEL AYUNTAMIENTO;PLAZA PLAZA AGONAC 1
HUESCA;ALMUNIENTE;1;1;U;A;Z;LOCAL SOCIAL DE FRULA;PLAZA MAYOR S/N
HUESCA;ALQUEZAR;1;1;U;A;Z;PLANTA BAJA DEL NUEVO CENTRO SOCIAL;CALLE LA IGLESIA 14
HUESCA;ALTORRICON;1;1;A;A;K;CASA DE CULTURA;CALLE DE LA PAZ 1
HUESCA;ALTORRICON;1;1;B;L;Z;CASA DE CULTURA;CALLE DE LA PAZ 1
HUESCA;ANGUES;1;1;U;A;Z;NUEVO AYUNTAMIENTO DE ANGUES;CALLE PORCHE S/N
HUESCA;ANSO;1;1;U;A;Z;OFICINA DE TURISMO;PLAZA DOMINGO MIRAL 1
HUESCA;ANTILLON;1;1;U;A;Z;CASA CONSISTORIAL-PLANTA BAJA;PLAZA PORTILLO 1
HUESCA;ARAGUES DEL PUERTO;1;1;U;A;Z;ESCUELAS PUBLICAS;PLAZA CONSISTORIO S/N
HUESCA;AREN;1;1;U;A;Z;AYUNTAMIENTO. AREN;CALLE RIBAGORZANA 1
HUESCA;ARGAVIESO;1;1;U;A;Z;SALA DE ESPERA EDIF.CONSULTORIO MEDICO;CALLE BAJA 8
HUESCA;ARGUIS;1;1;U;A;Z;CLUB SOCIAL DE ARGUIS;CALLE LA IGLESIA (ARGUIS) 2
HUESCA;AYERBE;1;1;A;A;L;GRUPO ESCOLAR DE AYERBE;CALLE PROGRESO 4
HUESCA;AYERBE;1;1;B;M;Z;GRUPO ESCOLAR DE AYERBE;CALLE PROGRESO 4
HUESCA;AZANUY-ALINS;1;1;U;A;Z;SALA MULTIUSOS;PLAZA TEODORO NOGUERA 3
HUESCA;AZARA;1;1;U;A;Z;BAJOS DEL AYUNTAMIENTO NUEVO;PLAZA AYUNTAMIENTO 1
HUESCA;AZLOR;1;1;U;A;Z;BAJOS EDIFICIO ANTIGUAS ESCUELAS;CALLE IGLESIA 2
HUESCA;BAELLS;1;1;U;A;Z;SALA MULTIUSOS DEL CASTILLO;CALLE IGLESIA 1
HUESCA;BAILO;1;1;U;A;Z;SALON CASA CONSISTORIAL;CALLE PLAZA (LA) 1
HUESCA;BALDELLOU;1;1;U;A;Z;COLEGIO PUBLICO;CALLE BALSA (DE LA) 6
HUESCA;BALLOBAR;1;1;U;A;Z;CENTRO SOCIO-CULTURAL;AVDA AUTONOMIA S/N
HUESCA;BANASTAS;1;1;U;A;Z;CASA AYUNTAMIENTO;PLAZA MAYOR 6
HUESCA;BARBASTRO;1;2;A;A;L;NUEVO COLEGIO PUBLICO PEDRO I;CALLE LUIS BUUEL 7
HUESCA;BARBASTRO;1;2;B;M;Z;NUEVO COLEGIO PUBLICO PEDRO I;CALLE LUIS BUUEL 7
HUESCA;BARBASTRO;1;3;U;A;Z;LOC.1 ANTIGUAS PISCINAS COOP.VIVIENDAS;CALLE SOMONTANO 1
HUESCA;BARBASTRO;1;4;U;A;Z;LOCAL C ASOCIACION VECINOS BARRIO SAN JOSE;CALLE SOMONTANO 1
HUESCA;BARBASTRO;1;5;A;A;E;CENTRO DE CONGRESOS;AVDA ESTACION 35
HUESCA;BARBASTRO;1;5;B;F;M;CENTRO DE CONGRESOS;AVDA ESTACION 35
HUESCA;BARBASTRO;1;5;C;N;Z;CENTRO DE CONGRESOS;AVDA ESTACION 35
HUESCA;BARBASTRO;1;6;A;A;K;CENTRO DE CONGRESOS;AVDA ESTACION 35
HUESCA;BARBASTRO;1;6;B;L;Z;CENTRO DE CONGRESOS;AVDA ESTACION 35
HUESCA;BARBASTRO;1;7;A;A;H;SALA GOYA DEL EDIFICIO DE LA UNED;CALLE ARGENSOLA 55
HUESCA;BARBASTRO;1;7;B;I;Z;SALA GOYA DEL EDIFICIO DE LA UNED;CALLE ARGENSOLA 55
HUESCA;BARBASTRO;1;8;A;A;L;NUEVO COLEGIO PUBLICO PEDRO I;CALLE LUIS BUUEL 7
HUESCA;BARBASTRO;1;8;B;M;Z;NUEVO COLEGIO PUBLICO PEDRO I;CALLE LUIS BUUEL 7
HUESCA;BARBASTRO;1;9;U;A;Z;CENTRO DE CONGRESOS;AVDA ESTACION 35
HUESCA;BARBASTRO;1;10;A;A;E;ESTACION DE AUTOBUSES-BAJOS;PLAZA ARAGON (DE) 4
HUESCA;BARBASTRO;1;10;B;F;N;ESTACION DE AUTOBUSES-BAJOS;PLAZA ARAGON (DE) 4
HUESCA;BARBASTRO;1;10;C;O;Z;ESTACION DE AUTOBUSES-BAJOS;PLAZA ARAGON (DE) 4
HUESCA;BARBASTRO;1;11;A;A;J;COLEGIO LA MERCED;CALLE BEATO FLORENTINO.OBISPO 3
HUESCA;BARBASTRO;1;11;B;K;Z;COLEGIO LA MERCED;CALLE BEATO FLORENTINO.OBISPO 3
HUESCA;BARBASTRO;1;12;A;A;K;CENTRO DE CONGRESOS;AVDA ESTACION 35
