id colegio;Municipio;Distrito;Sección;Mesa;Desde;Hasta;Colegio electoral;Dirección
ZARAGOZA | COLEGIO ESCOLAPIAS CALASANZ | CALLE TENIENTE CORONEL VALENZUELA 2;ZARAGOZA;2;1;A;A;K;COLEGIO ESCOLAPIAS CALASANZ;CALLE TENIENTE CORONEL VALENZUELA 2
ZARAGOZA | COLEGIO ESCOLAPIAS CALASANZ | CALLE TENIENTE CORONEL VALENZUELA 2;ZARAGOZA;2;1;B;L;Z;COLEGIO ESCOLAPIAS CALASANZ;CALLE TENIENTE CORONEL VALENZUELA 2
ZARAGOZA | C.E.I.P. GASCON Y MARIN | PLAZA SITIOS (LOS) 4;ZARAGOZA;2;2;U;A;Z;C.E.I.P. GASCON Y MARIN;PLAZA SITIOS (LOS) 4
ZARAGOZA | C.E.I.P. GASCON Y MARIN | PLAZA SITIOS (LOS) 4;ZARAGOZA;2;3;U;A;Z;C.E.I.P. GASCON Y MARIN;PLAZA SITIOS (LOS) 4
ZARAGOZA | COLEGIO CANTIN Y GAMBOA | CALLE MORET 4;ZARAGOZA;2;4;A;A;K;COLEGIO CANTIN Y GAMBOA;CALLE MORET 4
ZARAGOZA | COLEGIO CANTIN Y GAMBOA | CALLE MORET 4;ZARAGOZA;2;4;B;L;Z;COLEGIO CANTIN Y GAMBOA;CALLE MORET 4
ZARAGOZA | C.E.I.P. GASCON Y MARIN | PLAZA SITIOS (LOS) 4;ZARAGOZA;2;5;U;A;Z;C.E.I.P. GASCON Y MARIN;PLAZA SITIOS (LOS) 4
ZARAGOZA | FACULTAD DE ECONOMIA Y EMPRESA | CALLE DOCTOR CERRADA 1;ZARAGOZA;2;6;A;A;K;FACULTAD DE ECONOMIA Y EMPRESA;CALLE DOCTOR CERRADA 1
ZARAGOZA | FACULTAD DE ECONOMIA Y EMPRESA | CALLE DOCTOR CERRADA 1;ZARAGOZA;2;6;B;L;Z;FACULTAD DE ECONOMIA Y EMPRESA;CALLE DOCTOR CERRADA 1
ZARAGOZA | FACULTAD DE ECONOMIA Y EMPRESA | CALLE DOCTOR CERRADA 1;ZARAGOZA;2;8;A;A;K;FACULTAD DE ECONOMIA Y EMPRESA;CALLE DOCTOR CERRADA 1
ZARAGOZA | FACULTAD DE ECONOMIA Y EMPRESA | CALLE DOCTOR CERRADA 1;ZARAGOZA;2;8;B;L;Z;FACULTAD DE ECONOMIA Y EMPRESA;CALLE DOCTOR CERRADA 1
ZARAGOZA | C.E.I.P. JOAQUIN COSTA | PASEO MARIA AGUSTIN 41;ZARAGOZA;2;9;A;A;K;C.E.I.P. JOAQUIN COSTA;PASEO MARIA AGUSTIN 41
ZARAGOZA | C.E.I.P. JOAQUIN COSTA | PASEO MARIA AGUSTIN 41;ZARAGOZA;2;9;B;L;Z;C.E.I.P. JOAQUIN COSTA;PASEO MARIA AGUSTIN 41
ZARAGOZA | C.E.I.P. JOAQUIN COSTA | PASEO MARIA AGUSTIN 41;ZARAGOZA;2;10;A;A;K;C.E.I.P. JOAQUIN COSTA;PASEO MARIA AGUSTIN 41
